[2024-10-30 16:01:09,769] INFO [GroupMetadataManager brokerId=0] Group console-consumer-39447 transitioned to Dead in generation 2 (kafka.coordinator.group.GroupMetadataManager)
[2024-10-30 16:52:43,536] INFO Terminating process due to signal SIGHUP (org.apache.kafka.common.utils.LoggingSignalHandler)
[2024-10-30 16:52:43,582] INFO [GroupCoordinator 0]: Preparing to rebalance group console-consumer-98261 in state PreparingRebalance with old generation 1 (__consumer_offsets-17) (reason: Removing member console-consumer-1224b65a-224e-4ab4-b5a6-8da17ba5fa62 on LeaveGroup; client reason: the consumer is being closed) (kafka.coordinator.group.GroupCoordinator)
[2024-10-30 16:52:43,582] INFO [GroupCoordinator 0]: Preparing to rebalance group console-consumer-92373 in state PreparingRebalance with old generation 1 (__consumer_offsets-15) (reason: Removing member console-consumer-c0aeb2c1-01ea-424c-8399-f41d62ce3c60 on LeaveGroup; client reason: the consumer is being closed) (kafka.coordinator.group.GroupCoordinator)
[2024-10-30 16:52:43,583] INFO [GroupCoordinator 0]: Group console-consumer-98261 with generation 2 is now empty (__consumer_offsets-17) (kafka.coordinator.group.GroupCoordinator)
[2024-10-30 16:52:43,583] INFO [GroupCoordinator 0]: Group console-consumer-92373 with generation 2 is now empty (__consumer_offsets-15) (kafka.coordinator.group.GroupCoordinator)
[2024-10-30 16:52:43,585] INFO [GroupCoordinator 0]: Member MemberMetadata(memberId=console-consumer-1224b65a-224e-4ab4-b5a6-8da17ba5fa62, groupInstanceId=None, clientId=console-consumer, clientHost=/127.0.0.1, sessionTimeoutMs=45000, rebalanceTimeoutMs=300000, supportedProtocols=List(range, cooperative-sticky)) has left group console-consumer-98261 through explicit `LeaveGroup`; client reason: the consumer is being closed (kafka.coordinator.group.GroupCoordinator)
[2024-10-30 16:52:43,585] INFO [GroupCoordinator 0]: Member MemberMetadata(memberId=console-consumer-c0aeb2c1-01ea-424c-8399-f41d62ce3c60, groupInstanceId=None, clientId=console-consumer, clientHost=/127.0.0.1, sessionTimeoutMs=45000, rebalanceTimeoutMs=300000, supportedProtocols=List(range, cooperative-sticky)) has left group console-consumer-92373 through explicit `LeaveGroup`; client reason: the consumer is being closed (kafka.coordinator.group.GroupCoordinator)
[2024-10-30 16:52:43,593] INFO [KafkaServer id=0] shutting down (kafka.server.KafkaServer)
[2024-10-30 16:52:43,609] INFO [KafkaServer id=0] Starting controlled shutdown (kafka.server.KafkaServer)
[2024-10-30 16:52:43,687] INFO [KafkaServer id=0] Controlled shutdown request returned successfully after 29ms (kafka.server.KafkaServer)
